network_name,run_date,procedure_code,provider_type,care_setting,service_label,service_category,p50,p10,p25,p75,p90,pmin,pmax,pmean,psd,n_prices,n_groups,cv,hilo,p9010,p7525
Blue Premier,2026-05-30,99214,institutional,outpatient,Office visit est pt 30-39min,E&M outpatient,86.41,40.01,41.61,169.62,241.63,32.8,554.47,118.1493717277486,94.51749868966371,191,452,.79998308,16.904573,6.0392404,4.0764241
MyBlue Health HMO,2026-05-30,99214,institutional,outpatient,Office visit est pt 30-39min,E&M outpatient,86.41,40.01,41.61,108.81,167.22,39.84,285.16,91.30436363636366,51.73203006359896,165,314,.56658882,7.1576304,4.1794553,2.6149964
ParPlan,2026-05-30,99214,institutional,outpatient,Office visit est pt 30-39min,E&M outpatient,119.5,40.01,50.41,250.96,381.65,24.16,657.04,174.5401246882793,148.105202130899,401,659,.84854531,27.195364,9.5388651,4.9783773
Blue Advantage HMO,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,78.29000000000001,55.59,64.83,97.06999999999999,114.76,43.05,580.7,82.9543218349293,31.1693839436397,5537,96157,.37574154,13.488966,2.0644,1.4973006
Blue Choice PPO,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,88.44,61.59,73.04000000000001,110.07,123.71,43.46,627.36,94.28680354967874,42.80001713581257,5747,122633,.45393434,14.435343,2.0086052,1.5069824
Blue Choice PPO common,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,88.45,61.59,73.04000000000001,110.07,123.71,43.46,627.36,94.28899947798917,42.80014534781166,5747,122380,.45392513,14.435343,2.0086052,1.5069824
Blue Choice PPO group 039993,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,90.75,66.31999999999999,78.02,107.68,119.24,46.97,133.97,91.91999999999999,20.77433587987832,33,37,.22600453,2.852246,1.7979493,1.3801589
Blue Essentials,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,86.39,61.59,72.3,108.62,121.78,43.46,627.36,93.41340383581262,43.1999996818296,5579,104734,.4624604,14.435343,1.9772691,1.5023513
Blue Essentials common,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,86.39,61.22,72.3,108.37,121.78,43.46,627.36,93.38573738099491,43.23471560830765,5567,104494,.46296915,14.435343,1.9892192,1.4988935
Blue Essentials group 295430,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,90.75,68,79.19,109.3,119.2,65.75,145.49,93.99137254901962,19.17335078372257,102,248,.20399053,2.2127757,1.7529411,1.3802248
Blue Essentials group 295781,2026-05-30,99214,professional,outpatient,Office visit est pt 30-39min,E&M outpatient,90.75,68,79.19,109.3,119.2,65.75,145.49,93.99137254901963,19.17335078372257,102,248,.20399053,2.2127757,1.7529411,1.3802248
